UserName,Tweet,TimeDateStamp,Location,preprocessed_Tweet,tokenized_Tweet
marcel_marizu,"For those suffering from #MentalHealth, this is for you. 

@mentalhealth @NIMHgov @mentalhealthph https://t.co/8DHw16nNkB",2020-06-10 19:49:54,Nigeria & 🌍,"suffering #mentalhealth, you. @mentalhealth @nimhgov @mentalhealthph","['suffering', 'mentalhealth', 'you', 'mentalhealth', 'nimhgov', 'mentalhealthph']"
StMartinsCEP,RT @mentalhealth: @StMartinsCEP Thank you for sharing 💚,2020-06-10 19:11:54,Folkestone,@mentalhealth: @stmartinscep thank sharing 💚,"['mentalhealth', 'stmartinscep', 'thank', 'sharing']"
victoriahhblog,"Please check out my new #mentalhealth blog post! #mentalhealthmatters #mentalillness #recovery #positive #mhwarrior #seekingsunshine #WednesdayWisdom 
@BlurtAlerts @ahmedhankir @PoppyJaman @GiveUsAShout @mentalhealth @Place2Be @TheMixUK @Rethink_ 
https://t.co/Bbm6bwtTLA",2020-06-10 18:58:56,"East Midlands, England",please check new #mentalhealth blog post! #mentalhealthmatters #mentalillness #recovery #positive #mhwarrior #seekingsunshine #wednesdaywisdom @blurtalerts @ahmedhankir @poppyjaman @giveusashout @mentalhealth @place2be @themixuk @rethink_,"['please', 'check', 'new', 'mentalhealth', 'blog', 'post', 'mentalhealthmatters', 'mentalillness', 'recovery', 'positive', 'mhwarrior', 'seekingsunshine', 'wednesdaywisdom', 'blurtalerts', 'ahmedhankir', 'poppyjaman', 'giveusashout', 'mentalhealth', 'place2be', 'themixuk', 'rethink_']"
MHChat,"@cronycle @NIMHgov @MindCharity @TimetoChange @Rethink_ @mentalhealth @PsychToday @PsychCentral @Mental_Elf @YoungMindsUK Thank you so much for your support and Look forward to your views about Prejudice and Discrimination: Its meaning, impact and significance: today @MHChat 8pm BST / 3pm EDT #MHChat",2020-06-10 18:15:12,,"@cronycle @nimhgov @mindcharity @timetochange @rethink_ @mentalhealth @psychtoday @psychcentral @mental_elf @youngmindsuk thank much support look forward views prejudice discrimination: meaning, impact significance: today @mhchat 8pm bst / 3pm edt #mhchat","['cronycle', 'nimhgov', 'mindcharity', 'timetochange', 'rethink_', 'mentalhealth', 'psychtoday', 'psychcentral', 'mental_elf', 'youngmindsuk', 'thank', 'much', 'support', 'look', 'forward', 'views', 'prejudice', 'discrimination', 'meaning', 'impact', 'significance', 'today', 'mhchat', 'pm', 'bst', 'pm', 'edt', 'mhchat']"
MHChat,RT @cronycle: Discover the top 20 thought leaders of #MentalHealth on @Cronycle like @nimhgov @mindcharity @timetochange @rethink_ @mentalh…,2020-06-10 18:14:55,,@cronycle: discover top 20 thought leaders #mentalhealth @cronycle like @nimhgov @mindcharity @timetochange @rethink_ @mentalh…,"['cronycle', 'discover', 'top', 'thought', 'leaders', 'mentalhealth', 'cronycle', 'like', 'nimhgov', 'mindcharity', 'timetochange', 'rethink_', 'mentalh']"
MANOLLIO,"@princesspiggy88 @emmakennytv @EamonnHolmes @RealDeniseWelch @reallorraine @carolvorders @MindCharity 
@heads_together 
@mentalhealth 

Please support and end this anguish and uncertainty....
#StandWithBAWorkers 
#BAbetrayal 
@BaBetrayal",2020-06-10 18:08:51,,@princesspiggy88 @emmakennytv @eamonnholmes @realdenisewelch @reallorraine @carolvorders @mindcharity @heads_together @mentalhealth please support end anguish uncertainty.... #standwithbaworkers #babetrayal @babetrayal,"['princesspiggy88', 'emmakennytv', 'eamonnholmes', 'realdenisewelch', 'reallorraine', 'carolvorders', 'mindcharity', 'heads_together', 'mentalhealth', 'please', 'support', 'end', 'anguish', 'uncertainty', 'standwithbaworkers', 'babetrayal', 'babetrayal']"
MHChat,"@thebraincoach1 @mentalhealth @TimetoChange @mhtodaymag @BC2M @TheLancetPsych Look forward to your views about Prejudice and Discrimination: Its meaning, impact and significance: today @MHChat 8pm BST / 3pm EDT #MHChat",2020-06-10 18:07:27,,"@thebraincoach1 @mentalhealth @timetochange @mhtodaymag @bc2m @thelancetpsych look forward views prejudice discrimination: meaning, impact significance: today @mhchat 8pm bst / 3pm edt #mhchat","['thebraincoach1', 'mentalhealth', 'timetochange', 'mhtodaymag', 'bc2m', 'thelancetpsych', 'look', 'forward', 'views', 'prejudice', 'discrimination', 'meaning', 'impact', 'significance', 'today', 'mhchat', 'pm', 'bst', 'pm', 'edt', 'mhchat']"
DogsforH,Tamar &amp; Xena looking forward to our new Walk and Talk groups and home visiting starting next week. @frometimes @dogsoffrome @FromeHealth @mentalhealth https://t.co/98RnByvxA8,2020-06-10 17:43:13,,tamar xena looking forward new walk talk groups home visiting starting next week. @frometimes @dogsoffrome @fromehealth @mentalhealth,"['tamar', 'xena', 'looking', 'forward', 'new', 'walk', 'talk', 'groups', 'home', 'visiting', 'starting', 'next', 'week', 'frometimes', 'dogsoffrome', 'fromehealth', 'mentalhealth']"
EdinUniHealth,@mentalhealth The Charlie Waller Memorial Trust @CharlieWtrust also have a dedicated section on their website for Covid19 and mental health. It includes infographics and tips for talking to children about coronavirus and returning to school https://t.co/ZeAbEvdTAS https://t.co/FVAPy0XTLP,2020-06-10 17:00:00,"Edinburgh, Scotland",@mentalhealth charlie waller memorial trust @charliewtrust also dedicated section website covid19 mental health. includes infographics tips talking children coronavirus returning school,"['mentalhealth', 'charlie', 'waller', 'memorial', 'trust', 'charliewtrust', 'also', 'dedicated', 'section', 'website', 'covid19', 'mental', 'health', 'includes', 'infographics', 'tips', 'talking', 'children', 'coronavirus', 'returning', 'school']"
NestaIvan,RT @NEZARAMO: @lazmasaba @MariamStilaal @SUP4HSTAR @BahaShane @MandelaTalona @depressionnote @mentalhealth @elgonfoundation @JumaMuwanguzi…,2020-06-10 16:56:08,uganda,@nezaramo: @lazmasaba @mariamstilaal @sup4hstar @bahashane @mandelatalona @depressionnote @mentalhealth @elgonfoundation @jumamuwanguzi…,"['nezaramo', 'lazmasaba', 'mariamstilaal', 'sup4hstar', 'bahashane', 'mandelatalona', 'depressionnote', 'mentalhealth', 'elgonfoundation', 'jumamuwanguzi']"
